Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date
India,won,58 runs,0,won,1st,Pakistan,Visakhapatnam,5-Apr-05
Pakistan,lost,58 runs,0,lost,2nd,India,Visakhapatnam,5-Apr-05
Pakistan,won,106 runs,0,won,1st,India,Jamshedpur,9-Apr-05
India,lost,106 runs,0,lost,2nd,Pakistan,Jamshedpur,9-Apr-05
Pakistan,won,3 wickets,0,lost,2nd,India,Ahmedabad,12-Apr-05
India,lost,3 wickets,0,won,1st,Pakistan,Ahmedabad,12-Apr-05
Pakistan,won,5 wickets,47,lost,2nd,India,Kanpur,15-Apr-05
India,lost,5 wickets,47,won,1st,Pakistan,Kanpur,15-Apr-05
Pakistan,won,159 runs,0,won,1st,India,Delhi,17-Apr-05
India,lost,159 runs,0,lost,2nd,Pakistan,Delhi,17-Apr-05
South Africa,won,8 wickets,30,lost,2nd,West Indies,Kingston,7-May-05
West Indies,lost,8 wickets,30,won,1st,South Africa,Kingston,7-May-05
South Africa,won,8 wickets,38,won,2nd,West Indies,Kingston,8-May-05
West Indies,lost,8 wickets,38,lost,1st,South Africa,Kingston,8-May-05
South Africa,won,1 runs,0,lost,1st,West Indies,Bridgetown,11-May-05
West Indies,lost,1 runs,0,won,2nd,South Africa,Bridgetown,11-May-05
South Africa,won,6 wickets,19,won,2nd,West Indies,Port of Spain,14-May-05
West Indies,lost,6 wickets,19,lost,1st,South Africa,Port of Spain,14-May-05
South Africa,won,7 wickets,5,won,2nd,West Indies,Port of Spain,15-May-05
West Indies,lost,7 wickets,5,lost,1st,South Africa,Port of Spain,15-May-05
Pakistan,won,59 runs,0,lost,1st,West Indies,Kingstown,18-May-05
West Indies,lost,59 runs,0,won,2nd,Pakistan,Kingstown,18-May-05
Pakistan,won,40 runs,0,won,1st,West Indies,Gros Islet,21-May-05
West Indies,lost,40 runs,0,lost,2nd,Pakistan,Gros Islet,21-May-05
Pakistan,won,22 runs,0,lost,1st,West Indies,Gros Islet,22-May-05
West Indies,lost,22 runs,0,won,2nd,Pakistan,Gros Islet,22-May-05
England,won,3 wickets,15,lost,2nd,Australia,Bristol,19-Jun-05
Australia,lost,3 wickets,15,won,1st,England,Bristol,19-Jun-05
Australia,won,57 runs,0,lost,1st,England,Chester-le-Street,23-Jun-05
England,lost,57 runs,0,won,2nd,Australia,Chester-le-Street,23-Jun-05
Australia,tied,-,0,lost,1st,England,Lord's,2-Jul-05
England,tied,-,0,won,2nd,Australia,Lord's,2-Jul-05
England,won,9 wickets,24,won,2nd,Australia,Leeds,7-Jul-05
Australia,lost,9 wickets,24,lost,1st,England,Leeds,7-Jul-05
Australia,won,7 wickets,34,won,2nd,England,Lord's,10-Jul-05
England,lost,7 wickets,34,lost,1st,Australia,Lord's,10-Jul-05
Australia,won,8 wickets,91,won,2nd,England,The Oval,12-Jul-05
England,lost,8 wickets,91,lost,1st,Australia,The Oval,12-Jul-05
Sri Lanka,won,3 wickets,10,lost,2nd,India,Dambulla,30-Jul-05
India,lost,3 wickets,10,won,1st,Sri Lanka,Dambulla,30-Jul-05
India,won,6 wickets,84,lost,2nd,West Indies,Dambulla,31-Jul-05
West Indies,lost,6 wickets,84,won,1st,India,Dambulla,31-Jul-05
Sri Lanka,won,50 runs,0,won,1st,West Indies,Dambulla,2-Aug-05
West Indies,lost,50 runs,0,lost,2nd,Sri Lanka,Dambulla,2-Aug-05
Sri Lanka,won,4 wickets,12,lost,2nd,India,Dambulla,3-Aug-05
India,lost,4 wickets,12,won,1st,Sri Lanka,Dambulla,3-Aug-05
West Indies,won,33 runs,0,won,1st,Sri Lanka,Colombo (RPS),6-Aug-05
Sri Lanka,lost,33 runs,0,lost,2nd,West Indies,Colombo (RPS),6-Aug-05
India,won,7 runs,0,won,1st,West Indies,Colombo (RPS),7-Aug-05
West Indies,lost,7 runs,0,lost,2nd,India,Colombo (RPS),7-Aug-05
Sri Lanka,won,18 runs,0,won,1st,India,Colombo (RPS),9-Aug-05
India,lost,18 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),9-Aug-05
New Zealand,won,51 runs,0,won,1st,India,Bulawayo,26-Aug-05
India,lost,51 runs,0,lost,2nd,New Zealand,Bulawayo,26-Aug-05
India,won,6 wickets,15,lost,2nd,New Zealand,Harare,2-Sep-05
New Zealand,lost,6 wickets,15,won,1st,India,Harare,2-Sep-05
New Zealand,won,6 wickets,11,lost,2nd,India,Harare,6-Sep-05
India,lost,6 wickets,11,won,1st,New Zealand,Harare,6-Sep-05
South Africa,won,2 wickets,3,lost,2nd,New Zealand,Bloemfontein,23-Oct-05
New Zealand,lost,2 wickets,3,won,1st,South Africa,Bloemfontein,23-Oct-05
India,won,152 runs,0,won,1st,Sri Lanka,Nagpur,25-Oct-05
Sri Lanka,lost,152 runs,0,lost,2nd,India,Nagpur,25-Oct-05
India,won,8 wickets,178,won,2nd,Sri Lanka,Mohali,28-Oct-05
Sri Lanka,lost,8 wickets,178,lost,1st,India,Mohali,28-Oct-05
South Africa,won,19 runs,0,won,1st,New Zealand,Cape Town,28-Oct-05
New Zealand,lost,19 runs,0,lost,2nd,South Africa,Cape Town,28-Oct-05
South Africa,won,4 wickets,4,won,2nd,New Zealand,Port Elizabeth,30-Oct-05
New Zealand,lost,4 wickets,4,lost,1st,South Africa,Port Elizabeth,30-Oct-05
India,won,6 wickets,23,lost,2nd,Sri Lanka,Jaipur,31-Oct-05
Sri Lanka,lost,6 wickets,23,won,1st,India,Jaipur,31-Oct-05
India,won,4 wickets,26,won,2nd,Sri Lanka,Pune,3-Nov-05
Sri Lanka,lost,4 wickets,26,lost,1st,India,Pune,3-Nov-05
South Africa,won,5 wickets,11,won,2nd,New Zealand,Centurion,6-Nov-05
New Zealand,lost,5 wickets,11,lost,1st,South Africa,Centurion,6-Nov-05
Sri Lanka,won,5 wickets,14,won,2nd,India,Ahmedabad,6-Nov-05
India,lost,5 wickets,14,lost,1st,Sri Lanka,Ahmedabad,6-Nov-05
India,won,7 wickets,91,won,2nd,Sri Lanka,Rajkot,9-Nov-05
Sri Lanka,lost,7 wickets,91,lost,1st,India,Rajkot,9-Nov-05
India,won,5 wickets,63,lost,2nd,Sri Lanka,Vadodara,12-Nov-05
Sri Lanka,lost,5 wickets,63,won,1st,India,Vadodara,12-Nov-05
South Africa,won,5 wickets,7,won,2nd,India,Hyderabad (Deccan),16-Nov-05
India,lost,5 wickets,7,lost,1st,South Africa,Hyderabad (Deccan),16-Nov-05
India,won,6 wickets,86,won,2nd,South Africa,Bangalore,19-Nov-05
South Africa,lost,6 wickets,86,lost,1st,India,Bangalore,19-Nov-05
South Africa,won,10 wickets,85,won,2nd,India,Kolkata,25-Nov-05
India,lost,10 wickets,85,lost,1st,South Africa,Kolkata,25-Nov-05
India,won,5 wickets,15,won,2nd,South Africa,Mumbai,28-Nov-05
South Africa,lost,5 wickets,15,lost,1st,India,Mumbai,28-Nov-05
Australia,won,147 runs,0,lost,1st,New Zealand,Auckland,3-Dec-05
New Zealand,lost,147 runs,0,won,2nd,Australia,Auckland,3-Dec-05
Australia,won,2 runs,0,won,1st,New Zealand,Wellington,7-Dec-05
New Zealand,lost,2 runs,0,lost,2nd,Australia,Wellington,7-Dec-05
New Zealand,won,2 wickets,6,won,2nd,Australia,Christchurch,10-Dec-05
Australia,lost,2 wickets,6,lost,1st,New Zealand,Christchurch,10-Dec-05
England,won,42 runs,0,won,1st,Pakistan,Lahore,10-Dec-05
Pakistan,lost,42 runs,0,lost,2nd,England,Lahore,10-Dec-05
Pakistan,won,7 wickets,36,lost,2nd,England,Lahore,12-Dec-05
England,lost,7 wickets,36,won,1st,Pakistan,Lahore,12-Dec-05
Pakistan,won,165 runs,0,lost,1st,England,Karachi,15-Dec-05
England,lost,165 runs,0,won,2nd,Pakistan,Karachi,15-Dec-05
Pakistan,won,13 runs,0,won,1st,England,Rawalpindi,19-Dec-05
England,lost,13 runs,0,lost,2nd,Pakistan,Rawalpindi,19-Dec-05
England,won,6 runs,0,won,1st,Pakistan,Rawalpindi,21-Dec-05
Pakistan,lost,6 runs,0,lost,2nd,England,Rawalpindi,21-Dec-05
New Zealand,won,7 wickets,76,won,2nd,Sri Lanka,Queenstown,31-Dec-05
Sri Lanka,lost,7 wickets,76,lost,1st,New Zealand,Queenstown,31-Dec-05
New Zealand,won,5 wickets,12,won,2nd,Sri Lanka,Christchurch,3-Jan-06
Sri Lanka,lost,5 wickets,12,lost,1st,New Zealand,Christchurch,3-Jan-06
New Zealand,won,21 runs,0,won,1st,Sri Lanka,Wellington,6-Jan-06
Sri Lanka,lost,21 runs,0,lost,2nd,New Zealand,Wellington,6-Jan-06
Sri Lanka,won,20 runs,0,won,1st,New Zealand,Napier,8-Jan-06
New Zealand,lost,20 runs,0,lost,2nd,Sri Lanka,Napier,8-Jan-06
Australia,won,116 runs,0,lost,1st,Sri Lanka,Melbourne (Docklands),13-Jan-06
Sri Lanka,lost,116 runs,0,won,2nd,Australia,Melbourne (Docklands),13-Jan-06
South Africa,won,5 wickets,7,lost,2nd,Australia,Brisbane,15-Jan-06
Australia,lost,5 wickets,7,won,1st,South Africa,Brisbane,15-Jan-06
Sri Lanka,won,94 runs,0,lost,1st,South Africa,Brisbane,17-Jan-06
South Africa,lost,94 runs,0,won,2nd,Sri Lanka,Brisbane,17-Jan-06
Australia,won,59 runs,0,won,1st,South Africa,Melbourne (Docklands),20-Jan-06
South Africa,lost,59 runs,0,lost,2nd,Australia,Melbourne (Docklands),20-Jan-06
Sri Lanka,won,51 runs,0,won,1st,Australia,Sydney,22-Jan-06
Australia,lost,51 runs,0,lost,2nd,Sri Lanka,Sydney,22-Jan-06
South Africa,won,9 runs,0,won,1st,Sri Lanka,Adelaide,24-Jan-06
Sri Lanka,lost,9 runs,0,lost,2nd,South Africa,Adelaide,24-Jan-06
Australia,won,5 wickets,9,lost,2nd,Sri Lanka,Adelaide,26-Jan-06
Sri Lanka,lost,5 wickets,9,won,1st,Australia,Adelaide,26-Jan-06
Australia,won,6 wickets,54,lost,2nd,Sri Lanka,Perth,29-Jan-06
Sri Lanka,lost,6 wickets,54,won,1st,Australia,Perth,29-Jan-06
South Africa,won,5 wickets,29,lost,2nd,Sri Lanka,Perth,31-Jan-06
Sri Lanka,lost,5 wickets,29,won,1st,South Africa,Perth,31-Jan-06
Australia,won,80 runs,0,won,1st,South Africa,Melbourne (Docklands),3-Feb-06
South Africa,lost,80 runs,0,lost,2nd,Australia,Melbourne (Docklands),3-Feb-06
Australia,won,57 runs,0,won,1st,South Africa,Sydney,5-Feb-06
South Africa,lost,57 runs,0,lost,2nd,Australia,Sydney,5-Feb-06
Pakistan,won,7 runs,0,won,2nd,India,Peshawar,6-Feb-06
India,lost,7 runs,0,lost,1st,Pakistan,Peshawar,6-Feb-06
Sri Lanka,won,76 runs,0,won,1st,South Africa,Hobart,7-Feb-06
South Africa,lost,76 runs,0,lost,2nd,Sri Lanka,Hobart,7-Feb-06
Sri Lanka,won,22 runs,0,won,1st,Australia,Adelaide,10-Feb-06
Australia,lost,22 runs,0,lost,2nd,Sri Lanka,Adelaide,10-Feb-06
India,won,7 wickets,41,lost,2nd,Pakistan,Rawalpindi,11-Feb-06
Pakistan,lost,7 wickets,41,won,1st,India,Rawalpindi,11-Feb-06
Australia,won,167 runs,0,won,1st,Sri Lanka,Sydney,12-Feb-06
Sri Lanka,lost,167 runs,0,lost,2nd,Australia,Sydney,12-Feb-06
India,won,5 wickets,14,won,2nd,Pakistan,Lahore,13-Feb-06
Pakistan,lost,5 wickets,14,lost,1st,India,Lahore,13-Feb-06
Australia,won,9 wickets,27,lost,2nd,Sri Lanka,Brisbane,14-Feb-06
Sri Lanka,lost,9 wickets,27,won,1st,Australia,Brisbane,14-Feb-06
India,won,5 wickets,105,won,2nd,Pakistan,Multan,16-Feb-06
Pakistan,lost,5 wickets,105,lost,1st,India,Multan,16-Feb-06
New Zealand,won,81 runs,0,won,1st,West Indies,Wellington,18-Feb-06
West Indies,lost,81 runs,0,lost,2nd,New Zealand,Wellington,18-Feb-06
India,won,8 wickets,19,won,2nd,Pakistan,Karachi,19-Feb-06
Pakistan,lost,8 wickets,19,lost,1st,India,Karachi,19-Feb-06
New Zealand,won,3 wickets,48,won,2nd,West Indies,Queenstown,22-Feb-06
West Indies,lost,3 wickets,48,lost,1st,New Zealand,Queenstown,22-Feb-06
New Zealand,won,21 runs,0,won,1st,West Indies,Christchurch,25-Feb-06
West Indies,lost,21 runs,0,lost,2nd,New Zealand,Christchurch,25-Feb-06
South Africa,won,6 wickets,21,lost,2nd,Australia,Centurion,26-Feb-06
Australia,lost,6 wickets,21,won,1st,South Africa,Centurion,26-Feb-06
New Zealand,won,91 runs,0,lost,1st,West Indies,Napier,1-Mar-06
West Indies,lost,91 runs,0,won,2nd,New Zealand,Napier,1-Mar-06
South Africa,won,196 runs,0,won,1st,Australia,Cape Town,3-Mar-06
Australia,lost,196 runs,0,lost,2nd,South Africa,Cape Town,3-Mar-06
West Indies,won,3 wickets,2,lost,2nd,New Zealand,Auckland,4-Mar-06
New Zealand,lost,3 wickets,2,won,1st,West Indies,Auckland,4-Mar-06
Australia,won,24 runs,0,lost,1st,South Africa,Port Elizabeth,5-Mar-06
South Africa,lost,24 runs,0,won,2nd,Australia,Port Elizabeth,5-Mar-06
Australia,won,1 wickets,5,lost,2nd,South Africa,Durban,10-Mar-06
South Africa,lost,1 wickets,5,won,1st,Australia,Durban,10-Mar-06
South Africa,won,1 wickets,1,lost,2nd,Australia,Johannesburg,12-Mar-06
Australia,lost,1 wickets,1,won,1st,South Africa,Johannesburg,12-Mar-06
Pakistan,won,4 wickets,32,won,2nd,Sri Lanka,Colombo (RPS),19-Mar-06
Sri Lanka,lost,4 wickets,32,lost,1st,Pakistan,Colombo (RPS),19-Mar-06
Pakistan,won,4 wickets,28,won,2nd,Sri Lanka,Colombo (SSC),22-Mar-06
Sri Lanka,lost,4 wickets,28,lost,1st,Pakistan,Colombo (SSC),22-Mar-06
India,won,39 runs,0,lost,1st,England,Delhi,28-Mar-06
England,lost,39 runs,0,won,2nd,India,Delhi,28-Mar-06
India,won,4 wickets,6,lost,2nd,England,Faridabad,31-Mar-06
England,lost,4 wickets,6,won,1st,India,Faridabad,31-Mar-06
India,won,49 runs,0,won,1st,England,Margao,3-Apr-06
England,lost,49 runs,0,lost,2nd,India,Margao,3-Apr-06
India,won,4 wickets,16,lost,2nd,England,Kochi,6-Apr-06
England,lost,4 wickets,16,won,1st,India,Kochi,6-Apr-06
England,won,5 wickets,44,lost,2nd,India,Jamshedpur,12-Apr-06
India,lost,5 wickets,44,won,1st,England,Jamshedpur,12-Apr-06
India,won,7 wickets,5,won,2nd,England,Indore,15-Apr-06
England,lost,7 wickets,5,lost,1st,India,Indore,15-Apr-06
Pakistan,won,6 wickets,9,lost,2nd,India,Abu Dhabi,18-Apr-06
India,lost,6 wickets,9,won,1st,Pakistan,Abu Dhabi,18-Apr-06
India,won,51 runs,0,won,1st,Pakistan,Abu Dhabi,19-Apr-06
Pakistan,lost,51 runs,0,lost,2nd,India,Abu Dhabi,19-Apr-06
India,won,5 wickets,1,won,2nd,West Indies,Kingston,18-May-06
West Indies,lost,5 wickets,1,lost,1st,India,Kingston,18-May-06
West Indies,won,1 runs,0,lost,1st,India,Kingston,20-May-06
India,lost,1 runs,0,won,2nd,West Indies,Kingston,20-May-06
West Indies,won,4 wickets,1,lost,2nd,India,Basseterre,23-May-06
India,lost,4 wickets,1,won,1st,West Indies,Basseterre,23-May-06
West Indies,won,6 wickets,36,won,2nd,India,Port of Spain,26-May-06
India,lost,6 wickets,36,lost,1st,West Indies,Port of Spain,26-May-06
West Indies,won,19 runs,0,lost,1st,India,Port of Spain,28-May-06
India,lost,19 runs,0,won,2nd,West Indies,Port of Spain,28-May-06
Sri Lanka,won,20 runs,0,lost,1st,England,Lord's,17-Jun-06
England,lost,20 runs,0,won,2nd,Sri Lanka,Lord's,17-Jun-06
Sri Lanka,won,46 runs,0,won,1st,England,The Oval,20-Jun-06
England,lost,46 runs,0,lost,2nd,Sri Lanka,The Oval,20-Jun-06
Sri Lanka,won,8 wickets,46,lost,2nd,England,Chester-le-Street,24-Jun-06
England,lost,8 wickets,46,won,1st,Sri Lanka,Chester-le-Street,24-Jun-06
Sri Lanka,won,33 runs,0,won,1st,England,Manchester,28-Jun-06
England,lost,33 runs,0,lost,2nd,Sri Lanka,Manchester,28-Jun-06
Sri Lanka,won,8 wickets,75,lost,2nd,England,Leeds,1-Jul-06
England,lost,8 wickets,75,won,1st,Sri Lanka,Leeds,1-Jul-06
Pakistan,won,7 wickets,20,won,2nd,England,Lord's,2-Sep-06
England,lost,7 wickets,20,lost,1st,Pakistan,Lord's,2-Sep-06
Pakistan,won,2 wickets,7,won,2nd,England,Southampton,5-Sep-06
England,lost,2 wickets,7,lost,1st,Pakistan,Southampton,5-Sep-06
England,won,8 wickets,22,lost,2nd,Pakistan,Nottingham,8-Sep-06
Pakistan,lost,8 wickets,22,won,1st,England,Nottingham,8-Sep-06
England,won,3 wickets,114,won,2nd,Pakistan,Birmingham,10-Sep-06
Pakistan,lost,3 wickets,114,lost,1st,England,Birmingham,10-Sep-06
Australia,won,78 runs,0,won,1st,West Indies,Kuala Lumpur,12-Sep-06
West Indies,lost,78 runs,0,lost,2nd,Australia,Kuala Lumpur,12-Sep-06
West Indies,won,29 runs,0,lost,2nd,India,Kuala Lumpur,14-Sep-06
India,lost,29 runs,0,won,1st,West Indies,Kuala Lumpur,14-Sep-06
West Indies,won,3 wickets,16,lost,2nd,Australia,Kuala Lumpur,18-Sep-06
Australia,lost,3 wickets,16,won,1st,West Indies,Kuala Lumpur,18-Sep-06
India,won,16 runs,0,won,1st,West Indies,Kuala Lumpur,20-Sep-06
West Indies,lost,16 runs,0,lost,2nd,India,Kuala Lumpur,20-Sep-06
Australia,won,18 runs,0,won,1st,India,Kuala Lumpur,22-Sep-06
India,lost,18 runs,0,lost,2nd,Australia,Kuala Lumpur,22-Sep-06
Australia,won,127 runs,0,won,1st,West Indies,Kuala Lumpur,24-Sep-06
West Indies,lost,127 runs,0,lost,2nd,Australia,Kuala Lumpur,24-Sep-06
Sri Lanka,won,9 wickets,220,lost,2nd,West Indies,Mumbai (BS),14-Oct-06
West Indies,lost,9 wickets,220,won,1st,Sri Lanka,Mumbai (BS),14-Oct-06
India,won,4 wickets,123,won,2nd,England,Jaipur,15-Oct-06
England,lost,4 wickets,123,lost,1st,India,Jaipur,15-Oct-06
New Zealand,won,87 runs,0,lost,1st,South Africa,Mumbai (BS),16-Oct-06
South Africa,lost,87 runs,0,won,2nd,New Zealand,Mumbai (BS),16-Oct-06
Pakistan,won,4 wickets,11,lost,2nd,Sri Lanka,Jaipur,17-Oct-06
Sri Lanka,lost,4 wickets,11,won,1st,Pakistan,Jaipur,17-Oct-06
West Indies,won,10 runs,0,won,1st,Australia,Mumbai (BS),18-Oct-06
Australia,lost,10 runs,0,lost,2nd,West Indies,Mumbai (BS),18-Oct-06
Sri Lanka,won,7 wickets,84,lost,2nd,New Zealand,Mumbai (BS),20-Oct-06
New Zealand,lost,7 wickets,84,won,1st,Sri Lanka,Mumbai (BS),20-Oct-06
Australia,won,6 wickets,79,won,2nd,England,Jaipur,21-Oct-06
England,lost,6 wickets,79,lost,1st,Australia,Jaipur,21-Oct-06
South Africa,won,78 runs,0,lost,1st,Sri Lanka,Ahmedabad,24-Oct-06
Sri Lanka,lost,78 runs,0,won,2nd,South Africa,Ahmedabad,24-Oct-06
New Zealand,won,51 runs,0,lost,1st,Pakistan,Mohali,25-Oct-06
Pakistan,lost,51 runs,0,won,2nd,New Zealand,Mohali,25-Oct-06
West Indies,won,3 wickets,2,won,2nd,India,Ahmedabad,26-Oct-06
India,lost,3 wickets,2,lost,1st,West Indies,Ahmedabad,26-Oct-06
South Africa,won,124 runs,0,won,1st,Pakistan,Mohali,27-Oct-06
Pakistan,lost,124 runs,0,lost,2nd,South Africa,Mohali,27-Oct-06
England,won,3 wickets,9,lost,2nd,West Indies,Ahmedabad,28-Oct-06
West Indies,lost,3 wickets,9,won,1st,England,Ahmedabad,28-Oct-06
Australia,won,6 wickets,26,lost,2nd,India,Mohali,29-Oct-06
India,lost,6 wickets,26,won,1st,Australia,Mohali,29-Oct-06
Australia,won,34 runs,0,lost,1st,New Zealand,Mohali,1-Nov-06
New Zealand,lost,34 runs,0,won,2nd,Australia,Mohali,1-Nov-06
West Indies,won,6 wickets,36,lost,2nd,South Africa,Jaipur,2-Nov-06
South Africa,lost,6 wickets,36,won,1st,West Indies,Jaipur,2-Nov-06
Australia,won,8 wickets,41,lost,2nd,West Indies,Mumbai (BS),5-Nov-06
West Indies,lost,8 wickets,41,won,1st,Australia,Mumbai (BS),5-Nov-06
South Africa,won,157 runs,0,won,1st,India,Durban,22-Nov-06
India,lost,157 runs,0,lost,2nd,South Africa,Durban,22-Nov-06
South Africa,won,106 runs,0,won,1st,India,Cape Town,26-Nov-06
India,lost,106 runs,0,lost,2nd,South Africa,Cape Town,26-Nov-06
South Africa,won,80 runs,0,won,1st,India,Port Elizabeth,29-Nov-06
India,lost,80 runs,0,lost,2nd,South Africa,Port Elizabeth,29-Nov-06
South Africa,won,9 wickets,112,won,2nd,India,Centurion,3-Dec-06
India,lost,9 wickets,112,lost,1st,South Africa,Centurion,3-Dec-06
Pakistan,won,2 wickets,10,won,2nd,West Indies,Faisalabad,7-Dec-06
West Indies,lost,2 wickets,10,lost,1st,Pakistan,Faisalabad,7-Dec-06
Pakistan,won,7 wickets,8,won,2nd,West Indies,Lahore,10-Dec-06
West Indies,lost,7 wickets,8,lost,1st,Pakistan,Lahore,10-Dec-06
West Indies,won,7 wickets,91,lost,2nd,Pakistan,Multan,13-Dec-06
Pakistan,lost,7 wickets,91,won,1st,West Indies,Multan,13-Dec-06
Pakistan,won,7 wickets,19,won,2nd,West Indies,Karachi,16-Dec-06
West Indies,lost,7 wickets,19,lost,1st,Pakistan,Karachi,16-Dec-06
Sri Lanka,won,7 wickets,60,lost,2nd,New Zealand,Napier,28-Dec-06
New Zealand,lost,7 wickets,60,won,1st,Sri Lanka,Napier,28-Dec-06
New Zealand,won,1 wickets,0,won,2nd,Sri Lanka,Queenstown,31-Dec-06
Sri Lanka,lost,1 wickets,0,lost,1st,New Zealand,Queenstown,31-Dec-06
New Zealand,won,4 wickets,129,won,2nd,Sri Lanka,Christchurch,2-Jan-07
Sri Lanka,lost,4 wickets,129,lost,1st,New Zealand,Christchurch,2-Jan-07
Sri Lanka,won,189 runs,0,won,1st,New Zealand,Auckland,6-Jan-07
New Zealand,lost,189 runs,0,lost,2nd,Sri Lanka,Auckland,6-Jan-07
Australia,won,8 wickets,28,lost,2nd,England,Melbourne,12-Jan-07
England,lost,8 wickets,28,won,1st,Australia,Melbourne,12-Jan-07
Australia,won,105 runs,0,won,1st,New Zealand,Hobart,14-Jan-07
New Zealand,lost,105 runs,0,lost,2nd,Australia,Hobart,14-Jan-07
England,won,3 wickets,1,lost,2nd,New Zealand,Hobart,16-Jan-07
New Zealand,lost,3 wickets,1,won,1st,England,Hobart,16-Jan-07
Australia,won,4 wickets,68,lost,2nd,England,Brisbane,19-Jan-07
England,lost,4 wickets,68,won,1st,Australia,Brisbane,19-Jan-07
Australia,won,2 wickets,8,lost,2nd,New Zealand,Sydney,21-Jan-07
New Zealand,lost,2 wickets,8,won,1st,Australia,Sydney,21-Jan-07
India,won,14 runs,0,lost,1st,West Indies,Nagpur,21-Jan-07
West Indies,lost,14 runs,0,won,2nd,India,Nagpur,21-Jan-07
New Zealand,won,90 runs,0,won,1st,England,Adelaide,23-Jan-07
England,lost,90 runs,0,lost,2nd,New Zealand,Adelaide,23-Jan-07
India,won,20 runs,0,won,1st,West Indies,Cuttack,24-Jan-07
West Indies,lost,20 runs,0,lost,2nd,India,Cuttack,24-Jan-07
Australia,won,9 wickets,153,lost,2nd,England,Adelaide,26-Jan-07
England,lost,9 wickets,153,won,1st,Australia,Adelaide,26-Jan-07
West Indies,won,3 wickets,38,won,2nd,India,Chennai,27-Jan-07
India,lost,3 wickets,38,lost,1st,West Indies,Chennai,27-Jan-07
Australia,won,8 runs,0,won,1st,New Zealand,Perth,28-Jan-07
New Zealand,lost,8 runs,0,lost,2nd,Australia,Perth,28-Jan-07
New Zealand,won,58 runs,0,won,1st,England,Perth,30-Jan-07
England,lost,58 runs,0,lost,2nd,New Zealand,Perth,30-Jan-07
India,won,160 runs,0,lost,1st,West Indies,Vadodara,31-Jan-07
West Indies,lost,160 runs,0,won,2nd,India,Vadodara,31-Jan-07
England,won,92 runs,0,won,1st,Australia,Sydney,2-Feb-07
Australia,lost,92 runs,0,lost,2nd,England,Sydney,2-Feb-07
Australia,won,5 wickets,10,lost,2nd,New Zealand,Melbourne,4-Feb-07
New Zealand,lost,5 wickets,10,won,1st,Australia,Melbourne,4-Feb-07
South Africa,won,164 runs,0,lost,1st,Pakistan,Centurion,4-Feb-07
Pakistan,lost,164 runs,0,won,2nd,South Africa,Centurion,4-Feb-07
England,won,14 runs,0,won,1st,New Zealand,Brisbane,6-Feb-07
New Zealand,lost,14 runs,0,lost,2nd,England,Brisbane,6-Feb-07
Pakistan,won,141 runs,0,won,1st,South Africa,Durban,7-Feb-07
South Africa,lost,141 runs,0,lost,2nd,Pakistan,Durban,7-Feb-07
England,won,4 wickets,3,lost,2nd,Australia,Melbourne,9-Feb-07
Australia,lost,4 wickets,3,won,1st,England,Melbourne,9-Feb-07
England,won,34 runs,0,won,1st,Australia,Sydney,11-Feb-07
Australia,lost,34 runs,0,lost,2nd,England,Sydney,11-Feb-07
Sri Lanka,won,5 runs,0,lost,1st,India,Rajkot,11-Feb-07
India,lost,5 runs,0,won,2nd,Sri Lanka,Rajkot,11-Feb-07
South Africa,won,10 wickets,216,won,2nd,Pakistan,Cape Town,11-Feb-07
Pakistan,lost,10 wickets,216,lost,1st,South Africa,Cape Town,11-Feb-07
India,won,5 wickets,21,lost,2nd,Sri Lanka,Margao,14-Feb-07
Sri Lanka,lost,5 wickets,21,won,1st,India,Margao,14-Feb-07
South Africa,won,9 wickets,130,lost,2nd,Pakistan,Johannesburg,14-Feb-07
Pakistan,lost,9 wickets,130,won,1st,South Africa,Johannesburg,14-Feb-07
New Zealand,won,10 wickets,138,won,2nd,Australia,Wellington,16-Feb-07
Australia,lost,10 wickets,138,lost,1st,New Zealand,Wellington,16-Feb-07
India,won,7 wickets,36,won,2nd,Sri Lanka,Visakhapatnam,17-Feb-07
Sri Lanka,lost,7 wickets,36,lost,1st,India,Visakhapatnam,17-Feb-07
New Zealand,won,5 wickets,8,won,2nd,Australia,Auckland,18-Feb-07
Australia,lost,5 wickets,8,lost,1st,New Zealand,Auckland,18-Feb-07
New Zealand,won,1 wickets,3,lost,2nd,Australia,Hamilton,20-Feb-07
Australia,lost,1 wickets,3,won,1st,New Zealand,Hamilton,20-Feb-07
West Indies,won,54 runs,0,lost,1st,Pakistan,Kingston,13-Mar-07
Pakistan,lost,54 runs,0,won,2nd,West Indies,Kingston,13-Mar-07
New Zealand,won,6 wickets,54,won,2nd,England,Gros Islet,16-Mar-07
England,lost,6 wickets,54,lost,1st,New Zealand,Gros Islet,16-Mar-07
Sri Lanka,won,69 runs,0,lost,1st,India,Port of Spain,23-Mar-07
India,lost,69 runs,0,won,2nd,Sri Lanka,Port of Spain,23-Mar-07
Australia,won,83 runs,0,lost,1st,South Africa,Basseterre,24-Mar-07
South Africa,lost,83 runs,0,won,2nd,Australia,Basseterre,24-Mar-07
Australia,won,103 runs,0,lost,1st,West Indies,North Sound,27-Mar-07
West Indies,lost,103 runs,0,won,2nd,Australia,North Sound,27-Mar-07
