Team,Result,Margin,BR,Toss,Bat,,Opposition,Ground,Start Date
West Indies,lost,3 wickets,11,won,1st,,v England,Sharjah,19/12/1997
India,won,7 wickets,31,won,2nd,,v Sri Lanka,Guwahati,22/12/1997
Sri Lanka,lost,7 wickets,31,lost,1st,,v India,Guwahati,22/12/1997
Sri Lanka,won,5 wickets,10,lost,2nd,,v India,Margao,28/12/1997
India,lost,5 wickets,10,won,1st,,v Sri Lanka,Margao,28/12/1997
South Africa,won,2 runs,0,won,1st,,v New Zealand,Brisbane,9/01/1998
New Zealand,lost,2 runs,0,lost,2nd,,v South Africa,Brisbane,9/01/1998
South Africa,won,5 wickets,15,lost,2nd,,v Australia,Brisbane,11/01/1998
Australia,lost,5 wickets,15,won,1st,,v South Africa,Brisbane,11/01/1998
India,won,18 runs,0,lost,1st,,v Pakistan,Dhaka,11/01/1998
Pakistan,lost,18 runs,0,won,2nd,,v India,Dhaka,11/01/1998
Australia,won,131 runs,0,won,1st,,v New Zealand,Sydney,14/01/1998
New Zealand,lost,131 runs,0,lost,2nd,,v Australia,Sydney,14/01/1998
India,won,8 wickets,53,lost,2nd,,v Pakistan,Dhaka,14/01/1998
Pakistan,lost,8 wickets,53,won,1st,,v India,Dhaka,14/01/1998
Pakistan,won,6 wickets,111,lost,2nd,,v India,Dhaka,16/01/1998
India,lost,6 wickets,111,won,1st,,v Pakistan,Dhaka,16/01/1998
South Africa,won,67 runs,0,won,1st,,v New Zealand,Perth,16/01/1998
New Zealand,lost,67 runs,0,lost,2nd,,v South Africa,Perth,16/01/1998
India,won,3 wickets,1,won,2nd,,v Pakistan,Dhaka,18/01/1998
Pakistan,lost,3 wickets,1,lost,1st,,v India,Dhaka,18/01/1998
South Africa,won,7 wickets,130,lost,2nd,,v Australia,Perth,18/01/1998
Australia,lost,7 wickets,130,won,1st,,v South Africa,Perth,18/01/1998
New Zealand,won,4 wickets,5,lost,2nd,,v Australia,Melbourne,21/01/1998
Australia,lost,4 wickets,5,won,1st,,v New Zealand,Melbourne,21/01/1998
South Africa,won,6 runs,0,won,1st,,v Australia,Melbourne,23/01/1998
Australia,lost,6 runs,0,lost,2nd,,v South Africa,Melbourne,23/01/1998
Australia,won,7 wickets,49,lost,2nd,,v South Africa,Sydney,26/01/1998
South Africa,lost,7 wickets,49,won,1st,,v Australia,Sydney,26/01/1998
Australia,won,14 runs,0,won,1st,,v South Africa,Sydney,27/01/1998
South Africa,lost,14 runs,0,lost,2nd,,v Australia,Sydney,27/01/1998
Australia,won,7 wickets,70,lost,2nd,,v New Zealand,Christchurch,8/02/1998
New Zealand,lost,7 wickets,70,won,1st,,v Australia,Christchurch,8/02/1998
Australia,won,66 runs,0,won,1st,,v New Zealand,Wellington,10/02/1998
New Zealand,lost,66 runs,0,lost,2nd,,v Australia,Wellington,10/02/1998
New Zealand,won,7 wickets,10,lost,2nd,,v Australia,Napier,12/02/1998
Australia,lost,7 wickets,10,won,1st,,v New Zealand,Napier,12/02/1998
New Zealand,won,30 runs,0,lost,1st,,v Australia,Auckland,14/02/1998
Australia,lost,30 runs,0,won,2nd,,v New Zealand,Auckland,14/02/1998
England,won,16 runs,0,lost,1st,,v West Indies,Bridgetown,29/03/1998
West Indies,lost,16 runs,0,won,2nd,,v England,Bridgetown,29/03/1998
India,won,41 runs,0,won,1st,,v Australia,Kochi,1/04/1998
Australia,lost,41 runs,0,lost,2nd,,v India,Kochi,1/04/1998
West Indies,won,1 wickets,1,won,2nd,,v England,Bridgetown,1/04/1998
England,lost,1 wickets,1,lost,1st,,v West Indies,Bridgetown,1/04/1998
South Africa,won,52 runs,0,won,1st,,v Pakistan,Durban,3/04/1998
Pakistan,lost,52 runs,0,lost,2nd,,v South Africa,Durban,3/04/1998
West Indies,won,5 wickets,11,lost,2nd,,v England,Kingstown,4/04/1998
England,lost,5 wickets,11,won,1st,,v West Indies,Kingstown,4/04/1998
South Africa,won,57 runs,0,won,1st,,v Sri Lanka,Johannesburg,5/04/1998
Sri Lanka,lost,57 runs,0,lost,2nd,,v South Africa,Johannesburg,5/04/1998
West Indies,won,4 wickets,74,lost,2nd,,v England,Kingstown,5/04/1998
England,lost,4 wickets,74,won,1st,,v West Indies,Kingstown,5/04/1998
India,won,6 wickets,33,lost,2nd,,v Australia,Kanpur,7/04/1998
Australia,lost,6 wickets,33,won,1st,,v India,Kanpur,7/04/1998
Pakistan,won,4 wickets,12,lost,2nd,,v Sri Lanka,Kimberley,7/04/1998
Sri Lanka,lost,4 wickets,12,won,1st,,v Pakistan,Kimberley,7/04/1998
West Indies,won,57 runs,0,won,1st,,v England,Port of Spain,8/04/1998
England,lost,57 runs,0,lost,2nd,,v West Indies,Port of Spain,8/04/1998
Pakistan,won,110 runs,0,won,1st,,v Sri Lanka,Paarl,9/04/1998
Sri Lanka,lost,110 runs,0,lost,2nd,,v Pakistan,Paarl,9/04/1998
South Africa,won,3 wickets,22,won,2nd,,v Pakistan,East London,11/04/1998
Pakistan,lost,3 wickets,22,lost,1st,,v South Africa,East London,11/04/1998
Sri Lanka,won,6 wickets,20,lost,2nd,,v South Africa,Port Elizabeth,13/04/1998
South Africa,lost,6 wickets,20,won,1st,,v Sri Lanka,Port Elizabeth,13/04/1998
Australia,won,4 wickets,8,lost,2nd,,v India,Delhi,14/04/1998
India,lost,4 wickets,8,won,1st,,v Australia,Delhi,14/04/1998
Sri Lanka,won,115 runs,0,lost,1st,,v Pakistan,Benoni,15/04/1998
Pakistan,lost,115 runs,0,won,2nd,,v Sri Lanka,Benoni,15/04/1998
South Africa,won,7 wickets,87,lost,2nd,,v Pakistan,Centurion,17/04/1998
Pakistan,lost,7 wickets,87,won,1st,,v South Africa,Centurion,17/04/1998
India,won,15 runs,0,won,1st,,v New Zealand,Sharjah,17/04/1998
New Zealand,lost,15 runs,0,lost,2nd,,v India,Sharjah,17/04/1998
Australia,won,6 wickets,79,lost,2nd,,v New Zealand,Sharjah,18/04/1998
New Zealand,lost,6 wickets,79,won,1st,,v Australia,Sharjah,18/04/1998
South Africa,won,5 wickets,141,won,2nd,,v Sri Lanka,Bloemfontein,19/04/1998
Sri Lanka,lost,5 wickets,141,lost,1st,,v South Africa,Bloemfontein,19/04/1998
Australia,won,58 runs,0,won,1st,,v India,Sharjah,19/04/1998
India,lost,58 runs,0,lost,2nd,,v Australia,Sharjah,19/04/1998
New Zealand,won,4 wickets,6,lost,2nd,,v India,Sharjah,20/04/1998
India,lost,4 wickets,6,won,1st,,v New Zealand,Sharjah,20/04/1998
Australia,won,5 wickets,13,lost,2nd,,v New Zealand,Sharjah,21/04/1998
New Zealand,lost,5 wickets,13,won,1st,,v Australia,Sharjah,21/04/1998
Australia,won,26 runs,0,won,1st,,v India,Sharjah,22/04/1998
India,lost,26 runs,0,lost,2nd,,v Australia,Sharjah,22/04/1998
South Africa,won,9 wickets,134,won,2nd,,v Pakistan,Cape Town,23/04/1998
Pakistan,lost,9 wickets,134,lost,1st,,v South Africa,Cape Town,23/04/1998
India,won,6 wickets,9,won,2nd,,v Australia,Sharjah,24/04/1998
Australia,lost,6 wickets,9,lost,1st,,v India,Sharjah,24/04/1998
South Africa,won,3 wickets,8,won,2nd,,v England,The Oval,21/05/1998
England,lost,3 wickets,8,lost,1st,,v South Africa,The Oval,21/05/1998
South Africa,won,32 runs,0,lost,1st,,v England,Manchester,23/05/1998
England,lost,32 runs,0,won,2nd,,v South Africa,Manchester,23/05/1998
England,won,7 wickets,90,lost,2nd,,v South Africa,Leeds,24/05/1998
South Africa,lost,7 wickets,90,won,1st,,v England,Leeds,24/05/1998
India,won,8 wickets,38,lost,2nd,,v Sri Lanka,Colombo (RPS),19/06/1998
Sri Lanka,lost,8 wickets,38,won,1st,,v India,Colombo (RPS),19/06/1998
Sri Lanka,won,7 wickets,60,lost,2nd,,v New Zealand,Colombo (RPS),21/06/1998
New Zealand,lost,7 wickets,60,won,1st,,v Sri Lanka,Colombo (RPS),21/06/1998
Sri Lanka,won,8 runs,0,lost,1st,,v India,Colombo (SSC),1/07/1998
India,lost,8 runs,0,won,2nd,,v Sri Lanka,Colombo (SSC),1/07/1998
Sri Lanka,won,87 runs,0,lost,1st,,v New Zealand,Colombo (SSC),5/07/1998
New Zealand,lost,87 runs,0,won,2nd,,v Sri Lanka,Colombo (SSC),5/07/1998
India,won,6 runs,0,won,1st,,v Sri Lanka,Colombo (RPS),7/07/1998
Sri Lanka,lost,6 runs,0,lost,2nd,,v India,Colombo (RPS),7/07/1998
Sri Lanka,won,57 runs,0,lost,1st,,v South Africa,Nottingham,14/08/1998
South Africa,lost,57 runs,0,won,2nd,,v Sri Lanka,Nottingham,14/08/1998
England,won,36 runs,0,lost,1st,,v Sri Lanka,Lord's,16/08/1998
Sri Lanka,lost,36 runs,0,won,2nd,,v England,Lord's,16/08/1998
South Africa,won,14 runs,0,won,1st,,v England,Birmingham,18/08/1998
England,lost,14 runs,0,lost,2nd,,v South Africa,Birmingham,18/08/1998
Sri Lanka,won,5 wickets,17,lost,2nd,,v England,Lord's,20/08/1998
England,lost,5 wickets,17,won,1st,,v Sri Lanka,Lord's,20/08/1998
India,won,6 wickets,38,won,2nd,,v Pakistan,Toronto,12/09/1998
Pakistan,lost,6 wickets,38,lost,1st,,v India,Toronto,12/09/1998
Pakistan,won,51 runs,0,lost,1st,,v India,Toronto,13/09/1998
India,lost,51 runs,0,won,2nd,,v Pakistan,Toronto,13/09/1998
Pakistan,won,77 runs,0,lost,1st,,v India,Toronto,16/09/1998
India,lost,77 runs,0,won,2nd,,v Pakistan,Toronto,16/09/1998
Pakistan,won,134 runs,0,lost,1st,,v India,Toronto,19/09/1998
India,lost,134 runs,0,won,2nd,,v Pakistan,Toronto,19/09/1998
Pakistan,won,5 wickets,10,lost,2nd,,v India,Toronto,20/09/1998
India,lost,5 wickets,10,won,1st,,v Pakistan,Toronto,20/09/1998
South Africa,won,6 wickets,20,lost,2nd,,v England,Dhaka,25/10/1998
England,lost,6 wickets,20,won,1st,,v South Africa,Dhaka,25/10/1998
Sri Lanka,won,5 wickets,51,won,2nd,,v New Zealand,Dhaka,26/10/1998
New Zealand,lost,5 wickets,51,lost,1st,,v Sri Lanka,Dhaka,26/10/1998
India,won,44 runs,0,lost,1st,,v Australia,Dhaka,28/10/1998
Australia,lost,44 runs,0,won,2nd,,v India,Dhaka,28/10/1998
West Indies,won,30 runs,0,won,1st,,v Pakistan,Dhaka,29/10/1998
Pakistan,lost,30 runs,0,lost,2nd,,v West Indies,Dhaka,29/10/1998
South Africa,won,92 runs,0,lost,1st,,v Sri Lanka,Dhaka,30/10/1998
Sri Lanka,lost,92 runs,0,won,2nd,,v South Africa,Dhaka,30/10/1998
West Indies,won,6 wickets,18,lost,2nd,,v India,Dhaka,31/10/1998
India,lost,6 wickets,18,won,1st,,v West Indies,Dhaka,31/10/1998
South Africa,won,4 wickets,18,won,2nd,,v West Indies,Dhaka,1/11/1998
West Indies,lost,4 wickets,18,lost,1st,,v South Africa,Dhaka,1/11/1998
Australia,won,86 runs,0,lost,1st,,v Pakistan,Karachi,6/11/1998
Pakistan,lost,86 runs,0,won,2nd,,v Australia,Karachi,6/11/1998
India,won,3 wickets,5,won,2nd,,v Sri Lanka,Sharjah,6/11/1998
Sri Lanka,lost,3 wickets,5,lost,1st,,v India,Sharjah,6/11/1998
Australia,won,5 wickets,11,lost,2nd,,v Pakistan,Peshawar,8/11/1998
Pakistan,lost,5 wickets,11,won,1st,,v Australia,Peshawar,8/11/1998
India,won,81 runs,0,lost,1st,,v Sri Lanka,Sharjah,9/11/1998
Sri Lanka,lost,81 runs,0,won,2nd,,v India,Sharjah,9/11/1998
Australia,won,6 wickets,7,lost,2nd,,v Pakistan,Lahore,10/11/1998
Pakistan,lost,6 wickets,7,won,1st,,v Australia,Lahore,10/11/1998
New Zealand,won,5 wickets,6,lost,2nd,,v India,Taupo,9/01/1999
India,lost,5 wickets,6,won,1st,,v New Zealand,Taupo,9/01/1999
England,won,7 runs,0,won,1st,,v Australia,Brisbane,10/01/1999
Australia,lost,7 runs,0,lost,2nd,,v England,Brisbane,10/01/1999
England,won,4 wickets,3,lost,2nd,,v Sri Lanka,Brisbane,11/01/1999
Sri Lanka,lost,4 wickets,3,won,1st,,v England,Brisbane,11/01/1999
India,won,2 wickets,1,won,2nd,,v New Zealand,Napier,12/01/1999
New Zealand,lost,2 wickets,1,lost,1st,,v India,Napier,12/01/1999
Australia,won,8 wickets,23,lost,2nd,,v Sri Lanka,Sydney,13/01/1999
Sri Lanka,lost,8 wickets,23,won,1st,,v Australia,Sydney,13/01/1999
Australia,won,9 wickets,64,lost,2nd,,v England,Melbourne,15/01/1999
England,lost,9 wickets,64,won,1st,,v Australia,Melbourne,15/01/1999
India,won,5 wickets,37,won,2nd,,v New Zealand,Auckland,16/01/1999
New Zealand,lost,5 wickets,37,lost,1st,,v India,Auckland,16/01/1999
England,won,7 runs,0,won,1st,,v Australia,Sydney,17/01/1999
Australia,lost,7 runs,0,lost,2nd,,v England,Sydney,17/01/1999
New Zealand,won,70 runs,0,lost,1st,,v India,Christchurch,19/01/1999
India,lost,70 runs,0,won,2nd,,v New Zealand,Christchurch,19/01/1999
England,won,7 wickets,28,lost,2nd,,v Sri Lanka,Melbourne,19/01/1999
Sri Lanka,lost,7 wickets,28,won,1st,,v England,Melbourne,19/01/1999
Sri Lanka,won,3 wickets,3,won,2nd,,v Australia,Hobart,21/01/1999
Australia,lost,3 wickets,3,lost,1st,,v Sri Lanka,Hobart,21/01/1999
South Africa,won,2 wickets,0,won,2nd,,v West Indies,Johannesburg,22/01/1999
West Indies,lost,2 wickets,0,lost,1st,,v South Africa,Johannesburg,22/01/1999
Sri Lanka,won,1 wickets,2,won,2nd,,v England,Adelaide,23/01/1999
England,lost,1 wickets,2,lost,1st,,v Sri Lanka,Adelaide,23/01/1999
Australia,won,80 runs,0,lost,1st,,v Sri Lanka,Adelaide,24/01/1999
Sri Lanka,lost,80 runs,0,won,2nd,,v Australia,Adelaide,24/01/1999
West Indies,won,43 runs,0,lost,1st,,v South Africa,East London,24/01/1999
South Africa,lost,43 runs,0,won,2nd,,v West Indies,East London,24/01/1999
Australia,won,16 runs,0,won,1st,,v England,Adelaide,26/01/1999
England,lost,16 runs,0,lost,2nd,,v Australia,Adelaide,26/01/1999
South Africa,won,55 runs,0,won,1st,,v West Indies,Durban,27/01/1999
West Indies,lost,55 runs,0,lost,2nd,,v South Africa,Durban,27/01/1999
England,won,128 runs,0,lost,1st,,v Sri Lanka,Perth,29/01/1999
Sri Lanka,lost,128 runs,0,won,2nd,,v England,Perth,29/01/1999
South Africa,won,99 runs,0,lost,1st,,v West Indies,Port Elizabeth,30/01/1999
West Indies,lost,99 runs,0,won,2nd,,v South Africa,Port Elizabeth,30/01/1999
Australia,won,45 runs,0,lost,1st,,v Sri Lanka,Perth,31/01/1999
Sri Lanka,lost,45 runs,0,won,2nd,,v Australia,Perth,31/01/1999
South Africa,won,89 runs,0,won,1st,,v West Indies,Cape Town,2/02/1999
West Indies,lost,89 runs,0,lost,2nd,,v South Africa,Cape Town,2/02/1999
Sri Lanka,won,11 runs,0,lost,1st,,v England,Sydney,3/02/1999
England,lost,11 runs,0,won,2nd,,v Sri Lanka,Sydney,3/02/1999
Australia,won,4 wickets,18,lost,2nd,,v England,Sydney,5/02/1999
England,lost,4 wickets,18,won,1st,,v Australia,Sydney,5/02/1999
South Africa,won,114 runs,0,won,1st,,v West Indies,Bloemfontein,5/02/1999
West Indies,lost,114 runs,0,lost,2nd,,v South Africa,Bloemfontein,5/02/1999
Australia,won,43 runs,0,won,1st,,v Sri Lanka,Melbourne,7/02/1999
Sri Lanka,lost,43 runs,0,lost,2nd,,v Australia,Melbourne,7/02/1999
South Africa,won,50 runs,0,won,1st,,v West Indies,Centurion,7/02/1999
West Indies,lost,50 runs,0,lost,2nd,,v South Africa,Centurion,7/02/1999
Australia,won,10 runs,0,won,1st,,v England,Sydney,10/02/1999
England,lost,10 runs,0,lost,2nd,,v Australia,Sydney,10/02/1999
Australia,won,162 runs,0,won,1st,,v England,Melbourne,13/02/1999
England,lost,162 runs,0,lost,2nd,,v Australia,Melbourne,13/02/1999
New Zealand,won,3 wickets,5,won,2nd,,v South Africa,Dunedin,14/02/1999
South Africa,lost,3 wickets,5,lost,1st,,v New Zealand,Dunedin,14/02/1999
South Africa,won,7 wickets,42,lost,2nd,,v New Zealand,Christchurch,17/02/1999
New Zealand,lost,7 wickets,42,won,1st,,v South Africa,Christchurch,17/02/1999
New Zealand,won,7 wickets,41,won,2nd,,v South Africa,Auckland,20/02/1999
South Africa,lost,7 wickets,41,lost,1st,,v New Zealand,Auckland,20/02/1999
Pakistan,won,9 runs,0,won,1st,,v Sri Lanka,Jamshedpur,19/03/1999
Sri Lanka,lost,9 runs,0,lost,2nd,,v Pakistan,Jamshedpur,19/03/1999
India,won,80 runs,0,lost,1st,,v Sri Lanka,Nagpur,22/03/1999
Sri Lanka,lost,80 runs,0,won,2nd,,v India,Nagpur,22/03/1999
Pakistan,won,143 runs,0,won,1st,,v India,Jaipur,24/03/1999
India,lost,143 runs,0,lost,2nd,,v Pakistan,Jaipur,24/03/1999
South Africa,won,2 wickets,0,won,2nd,,v New Zealand,Napier,26/03/1999
New Zealand,lost,2 wickets,0,lost,1st,,v South Africa,Napier,26/03/1999
South Africa,won,143 runs,0,won,1st,,v New Zealand,Auckland,27/03/1999
New Zealand,lost,143 runs,0,lost,2nd,,v South Africa,Auckland,27/03/1999
Sri Lanka,won,12 runs,0,won,1st,,v Pakistan,Visakhapatnam,27/03/1999
Pakistan,lost,12 runs,0,lost,2nd,,v Sri Lanka,Visakhapatnam,27/03/1999
India,won,51 runs,0,lost,1st,,v Sri Lanka,Pune,30/03/1999
Sri Lanka,lost,51 runs,0,won,2nd,,v India,Pune,30/03/1999
Pakistan,won,7 wickets,30,lost,2nd,,v India,Mohali,1/04/1999
India,lost,7 wickets,30,won,1st,,v Pakistan,Mohali,1/04/1999
Pakistan,won,123 runs,0,won,1st,,v India,Bangalore,4/04/1999
India,lost,123 runs,0,lost,2nd,,v Pakistan,Bangalore,4/04/1999
Pakistan,won,90 runs,0,won,1st,,v England,Sharjah,7/04/1999
England,lost,90 runs,0,lost,2nd,,v Pakistan,Sharjah,7/04/1999
Pakistan,won,116 runs,0,won,1st,,v India,Sharjah,8/04/1999
India,lost,116 runs,0,lost,2nd,,v Pakistan,Sharjah,8/04/1999
India,won,20 runs,0,won,1st,,v England,Sharjah,9/04/1999
England,lost,20 runs,0,lost,2nd,,v India,Sharjah,9/04/1999
India,won,9 runs,0,won,1st,,v England,Sharjah,11/04/1999
England,lost,9 runs,0,lost,2nd,,v India,Sharjah,11/04/1999
West Indies,won,44 runs,0,lost,1st,,v Australia,Kingstown,11/04/1999
Australia,lost,44 runs,0,won,2nd,,v West Indies,Kingstown,11/04/1999
England,won,62 runs,0,won,1st,,v Pakistan,Sharjah,12/04/1999
Pakistan,lost,62 runs,0,lost,2nd,,v England,Sharjah,12/04/1999
India,won,6 wickets,11,lost,2nd,,v Pakistan,Sharjah,13/04/1999
Pakistan,lost,6 wickets,11,won,1st,,v India,Sharjah,13/04/1999
Australia,won,46 runs,0,won,1st,,v West Indies,St George's,14/04/1999
West Indies,lost,46 runs,0,lost,2nd,,v Australia,St George's,14/04/1999
Pakistan,won,8 wickets,132,lost,2nd,,v India,Sharjah,16/04/1999
India,lost,8 wickets,132,won,1st,,v Pakistan,Sharjah,16/04/1999
West Indies,won,5 wickets,6,lost,2nd,,v Australia,Port of Spain,17/04/1999
Australia,lost,5 wickets,6,won,1st,,v West Indies,Port of Spain,17/04/1999
Australia,won,20 runs,0,won,1st,,v West Indies,Port of Spain,18/04/1999
West Indies,lost,20 runs,0,lost,2nd,,v Australia,Port of Spain,18/04/1999
Australia,tied,-,0,won,2nd,,v West Indies,Georgetown,21/04/1999
West Indies,tied,-,0,lost,1st,,v Australia,Georgetown,21/04/1999
Australia,won,4 wickets,9,lost,2nd,,v West Indies,Bridgetown,24/04/1999
West Indies,lost,4 wickets,9,won,1st,,v Australia,Bridgetown,24/04/1999
West Indies,won,8 wickets,18,lost,2nd,,v Australia,Bridgetown,25/04/1999
Australia,lost,8 wickets,18,won,1st,,v West Indies,Bridgetown,25/04/1999
England,won,8 wickets,19,won,2nd,,v Sri Lanka,Lord's,14/05/1999
Sri Lanka,lost,8 wickets,19,lost,1st,,v England,Lord's,14/05/1999
South Africa,won,4 wickets,16,lost,2nd,,v India,Hove,15/05/1999
India,lost,4 wickets,16,won,1st,,v South Africa,Hove,15/05/1999
Pakistan,won,27 runs,0,won,1st,,v West Indies,Bristol,16/05/1999
West Indies,lost,27 runs,0,lost,2nd,,v Pakistan,Bristol,16/05/1999
South Africa,won,89 runs,0,lost,1st,,v Sri Lanka,Northampton,19/05/1999
Sri Lanka,lost,89 runs,0,won,2nd,,v South Africa,Northampton,19/05/1999
New Zealand,won,5 wickets,28,lost,2nd,,v Australia,Cardiff,20/05/1999
Australia,lost,5 wickets,28,won,1st,,v New Zealand,Cardiff,20/05/1999
South Africa,won,122 runs,0,lost,1st,,v England,The Oval,22/05/1999
England,lost,122 runs,0,won,2nd,,v South Africa,The Oval,22/05/1999
Pakistan,won,10 runs,0,lost,1st,,v Australia,Leeds,23/05/1999
Australia,lost,10 runs,0,won,2nd,,v Pakistan,Leeds,23/05/1999
West Indies,won,7 wickets,34,won,2nd,,v New Zealand,Southampton,24/05/1999
New Zealand,lost,7 wickets,34,lost,1st,,v West Indies,Southampton,24/05/1999
India,won,157 runs,0,lost,1st,,v Sri Lanka,Taunton,26/05/1999
Sri Lanka,lost,157 runs,0,won,2nd,,v India,Taunton,26/05/1999
Pakistan,won,62 runs,0,lost,1st,,v New Zealand,Derby,28/05/1999
New Zealand,lost,62 runs,0,won,2nd,,v Pakistan,Derby,28/05/1999
India,won,63 runs,0,lost,1st,,v England,Birmingham,29/05/1999
England,lost,63 runs,0,won,2nd,,v India,Birmingham,29/05/1999
Australia,won,6 wickets,56,won,2nd,,v West Indies,Manchester,30/05/1999
West Indies,lost,6 wickets,56,lost,1st,,v Australia,Manchester,30/05/1999
Australia,won,77 runs,0,lost,1st,,v India,The Oval,4/06/1999
India,lost,77 runs,0,won,2nd,,v Australia,The Oval,4/06/1999
South Africa,won,3 wickets,6,lost,2nd,,v Pakistan,Nottingham,5/06/1999
Pakistan,lost,3 wickets,6,won,1st,,v South Africa,Nottingham,5/06/1999
India,won,47 runs,0,won,1st,,v Pakistan,Manchester,8/06/1999
Pakistan,lost,47 runs,0,lost,2nd,,v India,Manchester,8/06/1999
South Africa,won,74 runs,0,won,1st,,v New Zealand,Birmingham,10/06/1999
New Zealand,lost,74 runs,0,lost,2nd,,v South Africa,Birmingham,10/06/1999
New Zealand,won,5 wickets,10,lost,2nd,,v India,Nottingham,12/06/1999
India,lost,5 wickets,10,won,1st,,v New Zealand,Nottingham,12/06/1999
Australia,won,5 wickets,2,lost,2nd,,v South Africa,Leeds,13/06/1999
South Africa,lost,5 wickets,2,won,1st,,v Australia,Leeds,13/06/1999
Pakistan,won,9 wickets,15,lost,2nd,,v New Zealand,Manchester,16/06/1999
New Zealand,lost,9 wickets,15,won,1st,,v Pakistan,Manchester,16/06/1999
Australia,tied,-,0,lost,1st,,v South Africa,Birmingham,17/06/1999
South Africa,tied,-,0,won,2nd,,v Australia,Birmingham,17/06/1999
Australia,won,8 wickets,179,lost,2nd,,v Pakistan,Lord's,20/06/1999
Pakistan,lost,8 wickets,179,won,1st,,v Australia,Lord's,20/06/1999
Australia,won,50 runs,0,lost,1st,,v Sri Lanka,Galle,22/08/1999
Sri Lanka,lost,50 runs,0,won,2nd,,v Australia,Galle,22/08/1999
Australia,won,8 wickets,53,lost,2nd,,v India,Galle,23/08/1999
India,lost,8 wickets,53,won,1st,,v Australia,Galle,23/08/1999
Sri Lanka,won,7 wickets,20,lost,2nd,,v India,Colombo (RPS),25/08/1999
India,lost,7 wickets,20,won,1st,,v Sri Lanka,Colombo (RPS),25/08/1999
Australia,won,27 runs,0,won,1st,,v Sri Lanka,Colombo (RPS),26/08/1999
Sri Lanka,lost,27 runs,0,lost,2nd,,v Australia,Colombo (RPS),26/08/1999
Australia,won,41 runs,0,lost,1st,,v India,Colombo (SSC),28/08/1999
India,lost,41 runs,0,won,2nd,,v Australia,Colombo (SSC),28/08/1999
India,won,23 runs,0,lost,1st,,v Sri Lanka,Colombo (SSC),29/08/1999
Sri Lanka,lost,23 runs,0,won,2nd,,v India,Colombo (SSC),29/08/1999
Sri Lanka,won,8 wickets,63,lost,2nd,,v Australia,Colombo (RPS),31/08/1999
Australia,lost,8 wickets,63,won,1st,,v Sri Lanka,Colombo (RPS),31/08/1999
West Indies,won,42 runs,0,won,1st,,v India,Singapore,5/09/1999
India,lost,42 runs,0,lost,2nd,,v West Indies,Singapore,5/09/1999
West Indies,won,4 wickets,14,won,2nd,,v India,Singapore,8/09/1999
India,lost,4 wickets,14,lost,1st,,v West Indies,Singapore,8/09/1999
India,won,8 wickets,75,won,2nd,,v West Indies,Toronto,11/09/1999
West Indies,lost,8 wickets,75,lost,1st,,v India,Toronto,11/09/1999
West Indies,won,70 runs,0,won,1st,,v India,Toronto,12/09/1999
India,lost,70 runs,0,lost,2nd,,v West Indies,Toronto,12/09/1999
